start_x,start_y,start_z,end_x,end_y,end_z,segment_start,segment_end,segment_length
489648.5510999998,5922562.7719,-5,489321.30140000023,5922844.7853999995,-5,4737.771106,5169.771083,431.999977
489321.30140000023,5922844.7853999995,-5,489309.91060000006,5922854.5449,-5,5169.771083,5184.771022,14.999939
489309.91060000006,5922854.5449,-5,489309.14910000004,5922855.1931,-6,5184.771022,5186.185251,1.414230
489309.14910000004,5922855.1931,-6,489284.6458999999,5922875.7742,-6,5186.185251,5218.185072,31.999820
489284.6458999999,5922875.7742,-6,489264.5444,5922892.2643,-6,5218.185072,5244.184950,25.999879
489264.5444,5922892.2643,-6,489243.4894000003,5922909.1664,-6,5244.184950,5271.184839,26.999889
489243.4894000003,5922909.1664,-6,489223.04289999977,5922925.226600001,-6,5271.184839,5297.184635,25.999796
489223.04289999977,5922925.226600001,-6,489202.43039999995,5922941.0734,-6,5297.184635,5323.184563,25.999927
489202.43039999995,5922941.0734,-6,489181.65419999976,5922956.7049,-6,5323.184563,5349.184453,25.999890
489181.65419999976,5922956.7049,-6,489160.7165999999,5922972.1195,-6,5349.184453,5375.184318,25.999865
489160.7165999999,5922972.1195,-6,489139.61980000045,5922987.3156,-6,5375.184318,5401.184249,25.999931
489139.61980000045,5922987.3156,-6,489118.3661000002,5923002.2914,-6,5401.184249,5427.184140,25.999891
489118.3661000002,5923002.2914,-6,489096.1314000003,5923017.6084,-6,5427.184140,5454.183999,26.999859
489096.1314000003,5923017.6084,-6,489074.56510000024,5923032.1303,-6,5454.183999,5480.183824,25.999825
489074.56510000024,5923032.1303,-6,489052.8487999998,5923046.427100001,-6,5480.183824,5506.183750,25.999926
489052.8487999998,5923046.427100001,-6,489030.98510000017,5923060.497300001,-6,5506.183750,5532.183595,25.999844
489030.98510000017,5923060.497300001,-6,489008.9762000004,5923074.339400001,-6,5532.183595,5558.183506,25.999912
489008.9762000004,5923074.339400001,-6,488985.9698000001,5923088.470799999,-6,5558.183506,5585.183338,26.999832
488985.9698000001,5923088.470799999,-6,488963.6723999996,5923101.8432,-6,5585.183338,5611.183244,25.999906
488963.6723999996,5923101.8432,-6,488941.2372000003,5923114.982999999,-6,5611.183244,5637.183101,25.999857
488941.2372000003,5923114.982999999,-6,488908.20430000033,5923133.765900001,-6,5637.183101,5675.182704,37.999603
488908.20430000033,5923133.765900001,-6,488891.5817,5923142.968599999,-6,5675.182704,5694.182717,19.000014
488891.5817,5923142.968599999,-6,488874.0092000002,5923152.5188,-6,5694.182717,5714.182694,19.999977
488874.0092000002,5923152.5188,-6,488857.24509999994,5923161.460999999,-6,5714.182694,5733.182641,18.999947
488857.24509999994,5923161.460999999,-6,488839.5258999998,5923170.736,-6,5733.182641,5753.182533,19.999892
488839.5258999998,5923170.736,-6,488805.6573000001,5923187.966499999,-6,5753.182533,5791.182167,37.999634
488805.6573000001,5923187.966499999,-6,488788.6257999996,5923196.3883,-6,5791.182167,5810.182133,18.999966
488788.6257999996,5923196.3883,-6,488770.62930000015,5923205.1131,-6,5810.182133,5830.182037,19.999904
488770.62930000015,5923205.1131,-6,488736.2461000001,5923221.2925,-6,5830.182037,5868.181740,37.999703
488736.2461000001,5923221.2925,-6,488701.6211000001,5923236.9475,-6,5868.181740,5906.181341,37.999601
488701.6211000001,5923236.9475,-6,488683.30289999954,5923244.975,-6,5906.181341,5926.181271,19.999930
488683.30289999954,5923244.975,-6,488665.8415999999,5923252.4651999995,-6,5926.181271,5945.181273,19.000002
488665.8415999999,5923252.4651999995,-6,488648.324,5923259.8225,-6,5945.181273,5964.181173,18.999899
488648.324,5923259.8225,-6,488629.8245000001,5923267.423,-6,5964.181173,5984.181150,19.999978
488629.8245000001,5923267.423,-6,488594.51049999986,5923281.455,-6,5984.181150,6022.180829,37.999679
488594.51049999986,5923281.455,-6,488558.9874,5923294.9487,-6,6022.180829,6060.180442,37.999613
488558.9874,5923294.9487,-6,488541.1500000004,5923301.492699999,-6,6060.180442,6079.180357,18.999915
488541.1500000004,5923301.492699999,-6,488522.3205000004,5923308.2344,-6,6079.180357,6099.180372,20.000015
488522.3205000004,5923308.2344,-6,488501.5466,5923315.476,-6,6099.180372,6121.180274,21.999902
488501.5466,5923315.476,-6,488480.7098000003,5923322.534600001,-6,6121.180274,6143.180185,21.999911
488480.7098000003,5923322.534600001,-6,488479.7611999996,5923322.8511,-7,6143.180185,6144.594403,1.414219
488479.7611999996,5923322.8511,-7,488456.95720000006,5923330.332800001,-7,6144.594403,6168.594367,23.999964
488456.95720000006,5923330.332800001,-7,488436.94570000004,5923336.6994,-7,6168.594367,6189.594217,20.999851
488436.94570000004,5923336.6994,-7,488416.88129999954,5923342.897700001,-7,6189.594217,6210.594195,20.999978
488416.88129999954,5923342.897700001,-7,488396.7655999996,5923348.927200001,-7,6210.594195,6231.594106,20.999911
488396.7655999996,5923348.927200001,-7,488376.5998999998,5923354.787599999,-7,6231.594106,6252.594100,20.999994
488376.5998999998,5923354.787599999,-7,488339.9874,5923364.9607,-7,6252.594100,6290.593667,37.999567
488339.9874,5923364.9607,-7,488321.6242000004,5923369.838300001,-7,6290.593667,6309.593617,18.999950
488321.6242000004,5923369.838300001,-7,488302.2549999999,5923374.821599999,-7,6309.593617,6329.593597,19.999980
488302.2549999999,5923374.821599999,-7,488265.3465,5923383.862400001,-7,6329.593597,6367.593248,37.999650
488265.3465,5923383.862400001,-7,488246.8417999996,5923388.1722,-7,6367.593248,6386.593203,18.999955
488246.8417999996,5923388.1722,-7,488227.3284,5923392.556700001,-7,6386.593203,6406.593118,19.999915
488227.3284,5923392.556700001,-7,488190.159,5923400.456599999,-7,6406.593118,6444.592759,37.999641
488190.159,5923400.456599999,-7,488170.5491000004,5923404.3872,-7,6444.592759,6464.592704,19.999945
488170.5491000004,5923404.3872,-7,488151.89109999966,5923407.9759,-7,6464.592704,6483.592697,18.999993
488151.89109999966,5923407.9759,-7,488114.4961000001,5923414.727499999,-7,6483.592697,6521.592304,37.999607
488114.4961000001,5923414.727499999,-7,488094.7745000003,5923418.0524,-7,6521.592304,6541.592216,19.999912
488094.7745000003,5923418.0524,-7,488076.0148,5923421.0648,-7,6541.592216,6560.592239,19.000024
488076.0148,5923421.0648,-7,488056.24370000046,5923424.081700001,-7,6560.592239,6580.592191,19.999952
488056.24370000046,5923424.081700001,-7,488037.43939999957,5923426.801100001,-7,6580.592191,6599.592108,18.999917
